Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,"Kozilek, Butcher of Truth","Kozilek, Butcher of Truth",Rise of the Eldrazi,6,ROE,Normal,Near Mint,English,Mythic,34700,385336
1,"Ragavan, Nimble Pilferer (Borderless)","Ragavan, Nimble Pilferer",Modern Horizons 2,315,MH2,Normal,Near Mint,English,Mythic,240300,4996575
1,Doubling Season,Doubling Season,Ravnica: City of Guilds,158,RAV,Normal,Near Mint,English,Rare,13261,25028
1,Phyrexian Obliterator,Phyrexian Obliterator,New Phyrexia,68,NPH,Foil,Near Mint,English,Mythic,39421,416802
1,Recurring Nightmare,Recurring Nightmare,Exodus,72,EXO,Normal,Near Mint,English,Rare,4386,18283
1,"Rofellos, Llanowar Emissary","Rofellos, Llanowar Emissary",Urza's Destiny,118,UDS,Normal,Near Mint,English,Rare,6234,19730
1,"Jace, the Mind Sculptor","Jace, the Mind Sculptor",Worldwake,31,WWK,Normal,Near Mint,English,Mythic,34384,382537
1,Rishadan Port,Rishadan Port,Mercadian Masques,324,MMQ,Normal,Near Mint,English,Rare,6667,20151
1,Stoneforge Mystic,Stoneforge Mystic,Worldwake,20,WWK,Normal,Near Mint,English,Rare,34444,382548
1,Sword of Feast and Famine,Sword of Feast and Famine,Mirrodin Besieged,138,MBS,Normal,Near Mint,English,Mythic,39106,414270
1,Karn Liberated (Borderless),Karn Liberated,Double Masters,333,2XM,Foil,Near Mint,English,Mythic,218280,4500324
1,Chrome Mox,Chrome Mox,Mirrodin,152,MRD,Normal,Near Mint,English,Rare,11467,8903
1,"Urza, Lord High Artificer","Urza, Lord High Artificer",Modern Horizons,75,MH1,Normal,Near Mint,English,Mythic,190836,4054830
1,Snapcaster Mage,Snapcaster Mage,Innistrad,78,ISD,Normal,Near Mint,English,Rare,52206,501224
1,Bitterblossom,Bitterblossom,Morningtide,58,MOR,Normal,Near Mint,English,Rare,17950,115682
1,Scalding Tarn,Scalding Tarn,Modern Masters 2017,244,MM3,Normal,Near Mint,English,Rare,128282,3315912
1,Ancient Tomb,Ancient Tomb,Tempest,315,TMP,Normal,Near Mint,English,Uncommon,5457,18968
1,Verdant Catacombs,Verdant Catacombs,Zendikar,229,ZEN,Normal,Near Mint,English,Rare,33470,315319
1,Sensei's Divining Top,Sensei's Divining Top,Champions of Kamigawa,268,CHK,Normal,Near Mint,English,Uncommon,12160,24219
1,Sword of Fire and Ice,Sword of Fire and Ice,Modern Masters,216,MMA,Normal,Near Mint,English,Mythic,68239,1090567
1,Craterhoof Behemoth,Craterhoof Behemoth,Avacyn Restored,172,AVR,Normal,Near Mint,English,Mythic,58187,852215
1,Maze of Ith,Maze of Ith,The Dark,117,DRK,Normal,Near Mint,English,Uncommon,3546,17584
1,Sword of Hearth and Home (Borderless),Sword of Hearth and Home,Modern Horizons 2,324,MH2,Foil,Near Mint,English,Mythic,239612,4958369
1,Crucible of Worlds,Crucible of Worlds,Fifth Dawn,114,5DN,Normal,Near Mint,English,Rare,11791,23864
1,Enlightened Tutor,Enlightened Tutor,Classic Sixth Edition,19,6ED,Normal,Near Mint,English,Uncommon,2546,16652
1,Blightsteel Colossus,Blightsteel Colossus,Mirrodin Besieged,99,MBS,Normal,Near Mint,English,Mythic,39082,413951
1,Sylvan Library,Sylvan Library,Fourth Edition,273,4ED,Normal,Near Mint,English,Rare,1945,16066
1,Wooded Foothills,Wooded Foothills,Khans of Tarkir,249,KTK,Normal,Near Mint,English,Rare,92831,1253982
1,Bloodstained Mire,Bloodstained Mire,Khans of Tarkir,230,KTK,Normal,Near Mint,English,Rare,92830,1253972
1,Polluted Delta,Polluted Delta,Khans of Tarkir,239,KTK,Normal,Near Mint,English,Rare,92829,1253962
1,"Feather, the Redeemed","Feather, the Redeemed",Time Spiral: Remastered,377,TSR,Foil,Near Mint,English,Special,234046,4816454
1,"Emrakul, the Aeons Torn","Emrakul, the Aeons Torn",Prerelease Cards,4★,PRE,Foil,Near Mint,English,Promo,38377,407392
1,Damnation,Damnation,Planar Chaos,85,PLC,Normal,Near Mint,English,Rare,14703,26184
1,Marsh Flats,Marsh Flats,Zendikar,219,ZEN,Normal,Near Mint,English,Rare,33365,315154
1,Pact of Negation,Pact of Negation,Future Sight,42,FUT,Normal,Near Mint,English,Rare,14954,26435
1,Mirri's Guile,Mirri's Guile,Tempest,236,TMP,Normal,Near Mint,English,Rare,5632,19137
1,Demonic Tutor,Demonic Tutor,Revised Edition,105,3ED,Normal,Near Mint,English,Uncommon,1388,15529
1,Tarmogoyf,Tarmogoyf,Modern Masters,166,MMA,Normal,Near Mint,English,Mythic,68103,1086062
1,Wasteland,Wasteland,Tempest,330,TMP,Normal,Near Mint,English,Uncommon,5789,19285
1,"Vorinclex, Monstrous Raider (Showcase)","Vorinclex, Monstrous Raider",Kaldheim,320,KHM,Normal,Near Mint,English,Mythic,230136,4706132
1,"Avacyn, Angel of Hope","Avacyn, Angel of Hope",Avacyn Restored,6,AVR,Normal,Near Mint,English,Mythic,58167,852049
1,Blood Crypt,Blood Crypt,Dissension,171,DIS,Normal,Near Mint,English,Rare,13831,25433
1,The Great Henge,The Great Henge,Throne of Eldraine,161,ELD,Normal,Near Mint,English,Mythic,199361,4205734
1,Misty Rainforest,Misty Rainforest,Modern Horizons 2,250,MH2,Normal,Near Mint,English,Rare,238609,4942872
1,Thoughtseize (Borderless),Thoughtseize,Double Masters,344,2XM,Foil,Near Mint,English,Rare,218935,4512524
1,Feldon of the Third Path,Feldon of the Third Path,Time Spiral: Remastered,344,TSR,Foil,Near Mint,English,Special,233943,4809331
1,Natural Order,Natural Order,Visions,114,VIS,Normal,Near Mint,English,Rare,5889,19385
1,"Emrakul, the Promised End","Emrakul, the Promised End",Eldritch Moon,6,EMN,Normal,Near Mint,English,Mythic,119260,3149726
1,"Ugin, the Spirit Dragon (Showcase)","Ugin, the Spirit Dragon",Core Set 2021,285,M21,Normal,Near Mint,English,Mythic,215339,4436025
1,Dark Confidant,Dark Confidant,Modern Masters,75,MMA,Normal,Near Mint,English,Mythic,68218,1090406
1,Land Tax,Land Tax,Fourth Edition,34,4ED,Normal,Near Mint,English,Rare,1818,15945
1,Anointed Procession,Anointed Procession,Amonkhet,2,AKH,Normal,Near Mint,English,Rare,130149,3328060
1,"Elesh Norn, Grand Cenobite","Elesh Norn, Grand Cenobite",New Phyrexia,9,NPH,Normal,Near Mint,English,Mythic,39414,416744
1,Inkmoth Nexus,Inkmoth Nexus,Mirrodin Besieged,145,MBS,Normal,Near Mint,English,Rare,39095,414272
1,Oracle of Mul Daya,Oracle of Mul Daya,Zendikar,172,ZEN,Normal,Near Mint,English,Rare,33387,315334
1,Grave Pact,Grave Pact,Planechase,28,HOP,Normal,Near Mint,English,Rare,37373,397101
1,"Teferi, Hero of Dominaria","Teferi, Hero of Dominaria",Dominaria,207,DOM,Normal,Near Mint,English,Mythic,162150,3613769
1,Sneak Attack,Sneak Attack,Urza's Saga,218,USG,Normal,Near Mint,English,Rare,7046,20515
1,City of Brass,City of Brass,Modern Masters,221,MMA,Normal,Near Mint,English,Rare,68244,1090566
1,Dark Depths,Dark Depths,Coldsnap,145,CSP,Normal,Near Mint,English,Rare,14023,25625
1,Vesuva,Vesuva,Time Spiral,281,TSP,Normal,Near Mint,English,Rare,14418,26020
1,Phyrexian Arena,Phyrexian Arena,Apocalypse,47,APC,Normal,Near Mint,English,Rare,8008,21446
1,Recruiter of the Guard,Recruiter of the Guard,Conspiracy: Take the Crown,22,CN2,Normal,Near Mint,English,Rare,121450,3192657
1,Windswept Heath,Windswept Heath,Khans of Tarkir,248,KTK,Normal,Near Mint,English,Rare,92832,1253992
1,Ignoble Hierarch (Retro Frame),Ignoble Hierarch,Modern Horizons 2,414,MH2,Foil,Near Mint,English,Rare,240267,4993920
1,Wurmcoil Engine,Wurmcoil Engine,Prerelease Cards,223★,PRE,Foil,Near Mint,English,Promo,38405,407730
1,"Kroxa, Titan of Death's Hunger","Kroxa, Titan of Death's Hunger",Theros Beyond Death,221,THB,Normal,Near Mint,English,Mythic,206855,4299992
1,Reflecting Pool,Reflecting Pool,Conspiracy,210,CNS,Normal,Near Mint,English,Rare,83296,1188710
1,Gamble,Gamble,Urza's Saga,188,USG,Normal,Near Mint,English,Rare,6885,20363
1,Umezawa's Jitte,Umezawa's Jitte,Betrayers of Kamigawa,163,BOK,Normal,Near Mint,English,Rare,12383,24441
1,Horizon Canopy,Horizon Canopy,Iconic Masters,240,IMA,Normal,Near Mint,English,Rare,145341,3466937
1,Bribery,Bribery,8th Edition,64,8ED,Normal,Near Mint,English,Rare,11024,23386
1,Cryptic Command,Cryptic Command,Lorwyn,56,LRW,Normal,Near Mint,English,Rare,15456,2631
1,Dack Fayden,Dack Fayden,Conspiracy,42,CNS,Normal,Near Mint,English,Mythic,82431,1184470
1,Cyclonic Rift,Cyclonic Rift,Return to Ravnica,35,RTR,Normal,Near Mint,English,Rare,66473,1043416
1,Entomb,Entomb,Premium Deck Series: Graveborn,14,GRV,Foil,Near Mint,English,Promo,57248,734587
1,"Linvala, Keeper of Silence","Linvala, Keeper of Silence",Rise of the Eldrazi,33,ROE,Normal,Near Mint,English,Mythic,34727,385440
1,Drannith Magistrate (Extended Art),Drannith Magistrate,Ikoria: Lair of Behemoths,314,IKO,Foil,Near Mint,English,Rare,212235,4374268
1,Urza's Saga,Urza's Saga,Modern Horizons 2,259,MH2,Normal,Near Mint,English,Rare,238619,4943722
1,Geralf's Messenger,Geralf's Messenger,Dark Ascension,63,DKA,Normal,Near Mint,English,Rare,57683,760659
1,Sword of Light and Shadow,Sword of Light and Shadow,Darksteel,149,DST,Normal,Near Mint,English,Rare,11602,23678
1,"Urborg, Tomb of Yawgmoth","Urborg, Tomb of Yawgmoth",Magic 2015 (M15),248,M15,Normal,Near Mint,English,Rare,91106,1229146
1,Steam Vents,Steam Vents,Guildpact,164,GPT,Normal,Near Mint,English,Rare,13787,25389
1,"Nykthos, Shrine to Nyx","Nykthos, Shrine to Nyx",Theros,223,THS,Normal,Near Mint,English,Rare,71039,1131804
1,Murktide Regent (Showcase),Murktide Regent,Modern Horizons 2,337,MH2,Normal,Near Mint,English,Mythic,240319,4998005
1,Hydroid Krasis,Hydroid Krasis,Ravnica Allegiance,183,RNA,Foil,Near Mint,English,Mythic,182840,3929061
1,"Kiki-Jiki, Mirror Breaker","Kiki-Jiki, Mirror Breaker",Champions of Kamigawa,175,CHK,Normal,Near Mint,English,Rare,12062,24121
1,Mystical Tutor,Mystical Tutor,Mirage,80,MIR,Normal,Near Mint,English,Uncommon,5159,13015
1,Noble Hierarch,Noble Hierarch,Conflux,87,CON,Normal,Near Mint,English,Rare,28579,255358
1,Show and Tell,Show and Tell,Urza's Saga,96,USG,Normal,Near Mint,English,Rare,7036,20505
1,Breeding Pool,Breeding Pool,Gatecrash,240,GTC,Normal,Near Mint,English,Rare,67319,1066427
1,"Kokusho, the Evening Star","Kokusho, the Evening Star",Champions of Kamigawa,122,CHK,Normal,Near Mint,English,Rare,12073,24132
1,Vindicate,Vindicate,Apocalypse,126,APC,Normal,Near Mint,English,Rare,8046,21484
1,"Liliana, the Last Hope","Liliana, the Last Hope",Eldritch Moon,93,EMN,Normal,Near Mint,English,Mythic,120266,3157769
1,Goldspan Dragon,Goldspan Dragon,Kaldheim,139,KHM,Normal,Near Mint,English,Mythic,230161,4708658
1,Mana Confluence,Mana Confluence,Journey Into Nyx,163,JOU,Normal,Near Mint,English,Rare,82224,1182762
1,"Sheoldred, Whispering One","Sheoldred, Whispering One",Prerelease Cards,73★,PRE,Foil,Near Mint,English,Promo,39453,417070
1,Solitude,Solitude,Modern Horizons 2,32,MH2,Normal,Near Mint,English,Mythic,240037,4978425
1,Watery Grave,Watery Grave,Ravnica: City of Guilds,286,RAV,Normal,Near Mint,English,Rare,13475,25242
1,Tangle Wire,Tangle Wire,Nemesis,139,NMS,Normal,Near Mint,English,Rare,7251,20717
1,Ophiomancer,Ophiomancer,Commander 2013,84,C13,Normal,Near Mint,English,Rare,71878,1137220
1,Arid Mesa,Arid Mesa,Modern Horizons 2,244,MH2,Normal,Near Mint,English,Rare,238607,4942652
1,Defense of the Heart,Defense of the Heart,Urza's Legacy,100,ULG,Normal,Near Mint,English,Rare,6301,19797
1,Brazen Borrower,Brazen Borrower,Throne of Eldraine,39,ELD,Normal,Near Mint,English,Mythic,199387,4206138
1,Grief,Grief,Modern Horizons 2,87,MH2,Normal,Near Mint,English,Mythic,239402,4951899
1,Sacred Foundry,Sacred Foundry,Gatecrash,245,GTC,Normal,Near Mint,English,Rare,67321,1066422
1,Angel of Serenity,Angel of Serenity,Return to Ravnica,1,RTR,Foil,Near Mint,English,Mythic,66493,1043485
1,Monastery Mentor,Monastery Mentor,Fate Reforged,20,FRF,Normal,Near Mint,English,Mythic,95274,1277678
1,Ranger-Captain of Eos,Ranger-Captain of Eos,Modern Horizons,21,MH1,Normal,Near Mint,English,Mythic,190873,4055246
1,Primordial Hydra,Primordial Hydra,Magic 2013 (M13),183,M13,Normal,Near Mint,English,Mythic,59719,934710
1,Collected Company,Collected Company,Dragons of Tarkir,177,DTK,Normal,Near Mint,English,Rare,96501,2737072
1,Phantasmal Image,Phantasmal Image,Magic 2012 (M12),72,M12,Normal,Near Mint,English,Rare,47629,474502
1,The Scarab God,The Scarab God,Double Masters,216,2XM,Normal,Near Mint,English,Mythic,219023,4513820
1,Esper Sentinel (Showcase),Esper Sentinel,Modern Horizons 2,328,MH2,Normal,Near Mint,English,Rare,240036,4978315
1,Goblin Welder,Goblin Welder,Urza's Legacy,80,ULG,Normal,Near Mint,English,Rare,6321,19817
1,Bloodghast,Bloodghast,Zendikar,83,ZEN,Normal,Near Mint,English,Rare,33266,315274
1,Strip Mine,Strip Mine,Fourth Edition,363,4ED,Normal,Near Mint,English,Uncommon,1938,16061
1,Bloodforged Battle-Axe,Bloodforged Battle-Axe,Commander 2017,50,C17,Normal,Near Mint,English,Rare,139792,3449093
1,Attrition,Attrition,Commander,72,CMD,Normal,Near Mint,English,Rare,47411,471665
1,Progenitus,Progenitus,From the Vault: Legends,9,V11,Foil,Near Mint,English,Promo,48149,477573
1,Overgrown Tomb,Overgrown Tomb,Return to Ravnica,243,RTR,Normal,Near Mint,English,Rare,66417,1042559
1,Reanimate,Reanimate,Archenemy,21,ARC,Normal,Near Mint,English,Uncommon,37211,397573
1,"Gisela, Blade of Goldnight","Gisela, Blade of Goldnight",Avacyn Restored,209,AVR,Normal,Near Mint,English,Mythic,58268,853069
1,"Garruk, Apex Predator","Garruk, Apex Predator",Magic 2015 (M15),210,M15,Normal,Near Mint,English,Mythic,91107,1229156
1,Sword of Body and Mind,Sword of Body and Mind,From the Vault: Relics,14,V10,Foil,Near Mint,English,Mythic,36769,399464
1,Oath of Druids,Oath of Druids,Exodus,115,EXO,Normal,Near Mint,English,Rare,4360,18257
1,Basilisk Collar,Basilisk Collar,Worldwake,122,WWK,Foil,Near Mint,English,Rare,34334,382911
1,"Thassa, God of the Sea","Thassa, God of the Sea",Theros,66,THS,Normal,Near Mint,English,Mythic,70991,1131288
1,Flusterstorm,Flusterstorm,Iconic Masters,55,IMA,Normal,Near Mint,English,Rare,145340,3466927
1,Imperial Recruiter (Borderless),Imperial Recruiter,Modern Horizons 2,314,MH2,Normal,Near Mint,English,Mythic,239770,4968291
1,Aura Shards,Aura Shards,Commander,182,CMD,Normal,Near Mint,English,Uncommon,47412,471765
1,Shadowspear,Shadowspear,Theros Beyond Death,236,THB,Normal,Near Mint,English,Rare,206978,4303293
1,Sylvan Safekeeper,Sylvan Safekeeper,Commander 2014,217,C14,Normal,Near Mint,English,Rare,94385,1271272
1,Kolaghan's Command,Kolaghan's Command,Dragons of Tarkir,224,DTK,Normal,Near Mint,English,Rare,96518,2737237
1,Glen Elendra Archmage,Glen Elendra Archmage,Eventide,22,EVE,Normal,Near Mint,English,Rare,27124,182796
1,"Brimaz, King of Oreskos","Brimaz, King of Oreskos",Born of the Gods,5,BNG,Normal,Near Mint,English,Mythic,78846,1164471
1,Griselbrand,Griselbrand,Avacyn Restored,106,AVR,Normal,Near Mint,English,Mythic,58181,852071
1,Batterskull,Batterskull,Grand Prix Promos,2014,GPP,Foil,Near Mint,English,Promo,77847,1158936
1,Grave Titan,Grave Titan,Magic 2011 (M11),97,M11,Normal,Near Mint,English,Mythic,35553,390986
1,"Sigarda, Host of Herons","Sigarda, Host of Herons",Avacyn Restored,210,AVR,Normal,Near Mint,English,Mythic,58185,852077
1,"Yavimaya, Cradle of Growth","Yavimaya, Cradle of Growth",Modern Horizons 2,261,MH2,Normal,Near Mint,English,Rare,240045,4979305
1,Tireless Tracker,Tireless Tracker,Shadows over Innistrad,233,SOI,Normal,Near Mint,English,Rare,115943,3099491
1,Coercive Portal,Coercive Portal,Conspiracy,56,CNS,Normal,Near Mint,English,Mythic,83163,1187389
1,Godless Shrine,Godless Shrine,Gatecrash,242,GTC,Normal,Near Mint,English,Rare,67320,1066418
1,Birds of Paradise,Birds of Paradise,Magic 2012 (M12),165,M12,Normal,Near Mint,English,Rare,47708,474900
1,Temple Garden,Temple Garden,Return to Ravnica,248,RTR,Normal,Near Mint,English,Rare,66421,1042514
1,"Venser, Shaper Savant","Venser, Shaper Savant",From the Vault: Twenty,15,V13,Foil,Near Mint,English,Mythic,70758,1129847
1,Song of the Dryads,Song of the Dryads,Commander 2014,47,C14,Normal,Near Mint,English,Rare,94382,1271257
1,"Elspeth, Knight-Errant","Elspeth, Knight-Errant",Duel Decks: Elspeth vs. Tezzeret,1,DDF,Foil,Near Mint,English,Mythic,36936,399883
1,Damn (Retro Frame),Damn,Modern Horizons 2,396,MH2,Normal,Near Mint,English,Rare,240109,4981792
1,Dreadbore,Dreadbore,Return to Ravnica,157,RTR,Foil,Near Mint,English,Rare,66396,1042603
1,"Elspeth, Sun's Champion","Elspeth, Sun's Champion",Theros,9,THS,Normal,Near Mint,English,Mythic,71002,1131410
1,"Thalia, Guardian of Thraben","Thalia, Guardian of Thraben",Dark Ascension,24,DKA,Normal,Near Mint,English,Rare,57621,760256
1,Vigor,Vigor,Lorwyn,240,LRW,Normal,Near Mint,English,Rare,15666,4311
1,Goblin Sharpshooter,Goblin Sharpshooter,Commander 2013,111,C13,Normal,Near Mint,English,Rare,72130,1139494
1,Stomping Ground,Stomping Ground,Gatecrash,247,GTC,Normal,Near Mint,English,Rare,67322,1066425
1,Vendilion Clique,Vendilion Clique,Modern Masters,70,MMA,Normal,Near Mint,English,Mythic,68252,1090695
1,Weathered Wayfarer,Weathered Wayfarer,Onslaught,59,ONS,Normal,Near Mint,English,Rare,10318,22704
1,Primeval Titan,Primeval Titan,Magic 2011 (M11),192,M11,Normal,Near Mint,English,Mythic,35557,390989
1,Mutavault,Mutavault,Magic 2014 (M14),228,M14,Normal,Near Mint,English,Rare,69900,1124864
1,Deathrite Shaman,Deathrite Shaman,Eternal Masters,215,EMA,Normal,Near Mint,English,Rare,118409,3144412
1,Gemstone Mine,Gemstone Mine,Timeshifted,119,TSB,Normal,Near Mint,English,Uncommon,14598,26079
1,Avenger of Zendikar,Avenger of Zendikar,Worldwake,96,WWK,Normal,Near Mint,English,Mythic,34333,382578
1,Mox Tantalite,Mox Tantalite,Modern Horizons,226,MH1,Normal,Near Mint,English,Mythic,190981,4057640
1,Fabled Passage,Fabled Passage,Core Set 2021,246,M21,Foil,Near Mint,English,Rare,215556,4448793
1,Huntmaster of the Fells,Huntmaster of the Fells,Dark Ascension,140,DKA,Normal,Near Mint,English,Mythic,57633,760294
1,Academy Ruins,Academy Ruins,Time Spiral,269,TSP,Normal,Near Mint,English,Rare,14150,25752
1,Karmic Guide,Karmic Guide,Commander 2013,14,C13,Normal,Near Mint,English,Rare,72166,1139674
1,Chain of Vapor,Chain of Vapor,Onslaught,73,ONS,Normal,Near Mint,English,Uncommon,10327,22710
1,"Kira, Great Glass-Spinner","Kira, Great Glass-Spinner",Betrayers of Kamigawa,40,BOK,Normal,Near Mint,English,Rare,12295,24353
1,Carnage Tyrant,Carnage Tyrant,Ixalan,179,XLN,Normal,Near Mint,English,Mythic,142022,3457561
1,"Karn, Scion of Urza","Karn, Scion of Urza",Dominaria,1,DOM,Normal,Near Mint,English,Mythic,162259,3614859
1,"Teferi, Master of Time","Teferi, Master of Time",Core Set 2021,75,M21,Normal,Near Mint,English,Mythic,215349,4436965
1,"Kytheon, Hero of Akros","Kytheon, Hero of Akros",Prerelease Cards,23s,PRE,Foil,Near Mint,English,Mythic,100574,2902437
1,Ghostly Prison,Ghostly Prison,FNM Promos,2,FNM,Foil,Near Mint,English,Promo,38104,407710
1,Skullclamp,Skullclamp,Commander,260,CMD,Normal,Near Mint,English,Uncommon,47427,471828
1,Hallowed Fountain,Hallowed Fountain,Return to Ravnica,241,RTR,Normal,Near Mint,English,Rare,66415,1042513
1,Hinterland Harbor,Hinterland Harbor,Innistrad,241,ISD,Normal,Near Mint,English,Rare,52177,500296
1,Worldspine Wurm,Worldspine Wurm,Return to Ravnica,140,RTR,Normal,Near Mint,English,Mythic,66448,1043186
1,Vedalken Shackles,Vedalken Shackles,Modern Masters,218,MMA,Normal,Near Mint,English,Mythic,68251,1090686
1,Ancestral Vision,Ancestral Vision,Time Spiral,48,TSP,Normal,Near Mint,English,Rare,14155,25757
1,Chromatic Lantern,Chromatic Lantern,Return to Ravnica,226,RTR,Normal,Near Mint,English,Rare,66410,1042536
1,Mizzix's Mastery,Mizzix's Mastery,Strixhaven: Mystical Archives,43,STA,Normal,Near Mint,English,Mythic,235501,4883388
1,Saffi Eriksdotter,Saffi Eriksdotter,Time Spiral,245,TSP,Normal,Near Mint,English,Rare,14342,25944
1,Phyrexian Metamorph,Phyrexian Metamorph,Launch Party & Release Event Promos,42★,LARP,Foil,Near Mint,English,Promo,39455,417069
1,Falkenrath Aristocrat,Falkenrath Aristocrat,Dark Ascension,138,DKA,Foil,Near Mint,English,Mythic,57618,760222
1,Goblin Guide,Goblin Guide,Zendikar,126,ZEN,Normal,Near Mint,English,Rare,33305,315189
1,Dance of the Dead,Dance of the Dead,Ice Age,118,ICE,Normal,Near Mint,English,Uncommon,4639,18510
1,"Keranos, God of Storms","Keranos, God of Storms",Journey Into Nyx,151,JOU,Normal,Near Mint,English,Mythic,82179,1182440
1,Wrath of God,Wrath of God,9th Edition,56,9ED,Normal,Near Mint,English,Rare,12893,24951
1,Selfless Spirit,Selfless Spirit,Eldritch Moon,40,EMN,Normal,Near Mint,English,Rare,120285,3157964
1,Living Death,Living Death,Duel Decks: Phyrexia vs. the Coalition,31,DDE,Normal,Near Mint,English,Rare,36867,397467
1,Hero of Bladehold,Hero of Bladehold,Prerelease Cards,8★,PRE,Foil,Near Mint,English,Promo,48140,477564
1,Shardless Agent,Shardless Agent,Eternal Masters,206,EMA,Normal,Near Mint,English,Rare,118452,3144842
1,"Sorin, Lord of Innistrad","Sorin, Lord of Innistrad",Dark Ascension,142,DKA,Normal,Near Mint,English,Mythic,57619,760211
1,Mother of Runes,Mother of Runes,Urza's Legacy,14,ULG,Normal,Near Mint,English,Uncommon,6345,19841
1,Tidehollow Sculler,Tidehollow Sculler,FNM Promos,1,FNM,Foil,Near Mint,English,Promo,38168,407414
1,Olivia Voldaren,Olivia Voldaren,Innistrad,215,ISD,Normal,Near Mint,English,Mythic,52181,500336
1,Garruk Wildspeaker,Garruk Wildspeaker,Lorwyn,213,LRW,Normal,Near Mint,English,Rare,15501,2991
1,Spell Queller,Spell Queller,Eldritch Moon,189,EMN,Normal,Near Mint,English,Rare,120286,3157974
1,Lightning Greaves,Lightning Greaves,Mirrodin,199,MRD,Normal,Near Mint,English,Uncommon,11512,9263
1,Woodland Cemetery,Woodland Cemetery,Innistrad,249,ISD,Normal,Near Mint,English,Rare,52175,500341
1,Clifftop Retreat,Clifftop Retreat,Innistrad,238,ISD,Normal,Near Mint,English,Rare,52176,500369
1,Hangarback Walker,Hangarback Walker,Magic Origins,229,ORI,Normal,Near Mint,English,Rare,100305,2899652
1,Drowned Catacomb,Drowned Catacomb,Magic 2011 (M11),224,M11,Normal,Near Mint,English,Rare,35442,389685
1,Joraga Treespeaker,Joraga Treespeaker,Rise of the Eldrazi,190,ROE,Normal,Near Mint,English,Uncommon,34884,385426
1,Fury,Fury,Modern Horizons 2,126,MH2,Normal,Near Mint,English,Mythic,240325,4998338
1,Underworld Breach,Underworld Breach,Theros Beyond Death,161,THB,Normal,Near Mint,English,Rare,206642,4288480
